index, number
452,(-3.1895506637533377e-15-8.198965637729618e-17j)
453,(-3.827364756293145e-16-4.659237049232584e-16j)
454,(-1.03368906008175e-16-3.907876643926725e-17j)
455,(-8.383661246056767e-17-6.889109088320015e-17j)
456,(3.655575422679863e-15+4.578657210998681e-16j)
457,(9.407040430441177e-16+4.888711876125292e-17j)
458,(1.7327714866187844e-16+3.23886252614344e-18j)
459,(1.075802159627798e-15-3.9081115506126454e-16j)
460,(1.9392691520795074e-15+3.3021805638713176e-16j)
461,(-5.3388772281742944e-15+1.4987365994693588e-16j)
462,(1.6985985425135754e-15+3.0658953682086514e-17j)
463,(1.375901854449173e-15-2.480156907665896e-16j)
464,(-3.180323878059102e-16-1.3543376671973235e-16j)
465,(1.3175407143912965e-14-9.962279260025341e-16j)
466,(-3.4177972179642057e-15-4.86907128731142e-17j)
467,(-8.025430528156273e-15-4.3204627461818636e-16j)
468,(-1.1077225897864725e-16-2.534882247951716e-16j)
469,(7.62603167216573e-16-8.838244988222516e-18j)
470,(1.7796744912123593e-15-1.4556091803771853e-16j)
471,(-5.466399008539226e-15-6.00947729091155e-16j)
472,(-1.4496198312501936e-15+4.1724459931640076e-17j)
473,(3.3305840636281897e-16+7.94878790092582e-17j)
474,(1.0494712886450044e-14+1.8960697725729392e-16j)
475,(4.814463685446824e-15+2.9508327309625963e-17j)
476,(-4.989235528601864e-16+6.486362014358816e-17j)
477,(-2.6183182255121086e-15+1.977024223082143e-16j)
478,(-6.40864123992848e-15-5.242153559315697e-17j)
479,(-1.1629470151193186e-15+1.404628554526575e-16j)
480,(3.3930078735479113e-15+2.486425893059966e-16j)
481,(1.497121170246517e-15-5.011027148822404e-16j)
482,(5.780633572312645e-15-7.745098921433931e-17j)
483,(1.602805265101738e-15-2.0960363069316644e-16j)
484,(-8.157875039916488e-16+3.291216472342176e-16j)
485,(4.2577720955542156e-16+5.4492366403093156e-17j)
486,(2.411518394228261e-15-4.825038852222218e-17j)
487,(6.70850368978093e-17+3.7860164327102605e-17j)
488,(-3.3913056119876126e-15-2.44258686879964e-16j)
489,(-7.618115706843112e-16+1.9436246601279275e-16j)
490,(-2.453308641885948e-16-3.6730698247484066e-16j)
